debate,character,text
1A,Lester Holt,"Good evening, everyone. I'm Lester Holt, and welcome to the first Democratic debate to the 2020 race for president."
1A,Savannah Guthrie,"Hi, I'm Savannah Guthrie. And tonight, it's our first chance to see these candidates go head to head on stage together."
1A,Savannah Guthrie,"We'll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow."
1A,Lester Holt,"Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes."
1A,Guthrie,"Well, now it's time to find out."
1A,Announcer,"Tonight, round one. New Jersey Senator Cory Booker. Former Housing Secretary Julian Castro. New York City Mayor Bill De Blasio. Former Maryland Congressman John Delaney. Hawaii Congresswoman Tulsi Gabbard. Washington Governor Jay Inslee. Minnesota Senator Amy Klobuchar. Former Texas Congressman Beto O'Rourke. Ohio Congressman Tim Ryan. And Massachusetts Senator Elizabeth Warren."
1A,Announcer,"From NBC News, ""Decision 2020,"" the Democratic candidates debate, live from the Adrienne Arsht Performing Arts Center in Miami, Florida."
1A,Lester Holt,"And good evening again, everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we're going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children."
1A,Guthrie,"And we're going to talk about the tensions with Iran, climate change, and of course, we'll talk about the economy, those kitchen table issues so many Americans face every day."
1A,Diaz-Balart,"And some quick rules of the road. Before we begin, 20 candidates qualified for this first debate. We'll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups."
1A,Lester Holt,"Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight."
1A,Guthrie,"All right. So with that business out of the way, we want to get to it. And we'll start this evening with Senator Elizabeth Warren."
1A,Guthrie,"Senator, good evening to you."
1A,Elizabeth Warren,Thank you. Good to be here.
1A,Guthrie,"You have many plans -- free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?"
1A,Elizabeth Warren,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.
1A,Elizabeth Warren,"It's doing great for people who want to invest in private prisons, just not for the African-Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined."
1A,Elizabeth Warren,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us."
1A,Elizabeth Warren,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country."
1A,Guthrie,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, ""a magic genie."" To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a  sense of what's actually achievable?"
1A,Amy Klobuchar,"Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what's going on, when you have so many people that are having trouble affording college and having trouble affording their premiums."
1A,Amy Klobuchar,"So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education."
1A,Amy Klobuchar,"My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications."
1A,Amy Klobuchar,"Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000."
1A,Guthrie,"That's time, thank you. Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?"
1A,Beto O'Rourke,"This economy has got to work for everyone. And right now, we know that it isn't. And it's going to take all of us coming together to make sure that it does."
1A,Beto O'Rourke,"Right now, we have a system that favors those who can pay for access and outcomes. That's how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality."
1A,Beto O'Rourke,"A new democracy that is revived because we've returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now..."
1A,Guthrie,Congressman O'Rourke…
1A,Beto O'Rourke,That's how we each have a voice in our democracy and make this economy work for everybody.
1A,Guthrie,"Congressman, that's time, sir. I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?"
1A,Beto O'Rourke,I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right...
1A,Guthrie,Seventy percent?
1A,Beto O'Rourke,... that you -- you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues...
1A,Guthrie,"OK, that's time."
1A,Beto O'Rourke,... you need to pay for the programs we're talking about.
1A,Guthrie,"That's time. Thank you.         Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You've said we should not, quote, ""be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?"
1A,Cory Booker,"I don't think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can't make a living wage."
1A,Cory Booker,We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.
1A,Cory Booker,One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work.
1A,Cory Booker,"And I'll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street's rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation."
1A,Guthrie,"But quickly, Senator Booker, you did say that you didn't think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?"
1A,Cory Booker,"Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration."
1A,Cory Booker,"At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they're trying to influence Washington. It's about time that we have a president that fights for the people in this country..."
1A,Guthrie,"That's time, sir."
1A,Cory Booker,We need to have someone that's a champion for them.
1A,Guthrie,"Thank you, Senator. Senator Warren, I mentioned you..."
1A,Guthrie,Are you picking winners and losers?
1A,Elizabeth Warren,"So the way I understand this, it's there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall."
1A,Elizabeth Warren,And it helps constrict real innovation and growth in this economy.
1A,Elizabeth Warren,"Now, look, we've had the laws out there for a long time to be able to fight back. What's been missing is courage, courage in Washington to take on the giants. That's part of the corruption in this system."
1A,Elizabeth Warren,"It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them."
1A,Guthrie,Thank you.
1A,Lester Holt,"Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?"
1A,Julián Castro,"Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it's like to struggle. I know what it's like to rent a home and to worry about whether you're going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they're women."
1A,Julián Castro,"I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country."
1A,Julián Castro,"And also pursue legislation so that women are paid equal pay for equal work in this country. It's past time that we did that. And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve."
1A,Lester Holt,"All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?"
1A,Tulsi Gabbard,"First of all, let's recognize the situation we're in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That's not what we have right now."
