character,text
STEPHANOPOULOS," The stage is set. The field has been narrowed. For one night only, the top 10 candidates are here. Our Democratic primary debate starts right now."
STEPHANOPOULOS,(BEGIN VIDEO CLIP)
ANNOUNCER, This is an ABC News special.
BIDEN, I will be a president for every American.
WARREN, This is our moment.
SANDERS, We are in a struggle for the future of this country.
HARRIS, We fight for our country. That's the nature of who we are.
SANDERS, Right now we can act.
YANG, We're in the midst of the greatest economic transformation.
BOOKER, We have overcome worse times and darker moments than this.
O’ROURKE, We will make the most of this moment that we have here together.
KLOBUCHAR, We are on a march together.
CASTRO, We're going to win by being bold. We're going to win by being fearless.
ANNOUNCER," Live from Texas Southern University in Houston, Texas, here now, chief anchor George Stephanopoulos."
STEPHANOPOULOS," Good evening, and welcome to Houston. We are live from Texas Southern University for tonight's Democratic debate. The top 10 candidates are here. It's going to start right now."
STEPHANOPOULOS,"And on the stage, you see them. They have all met the criteria set by the Democratic National Committee. At least 10 others have not met the threshold. So, for the first time in this primary, a single debate in a single night with all the top candidates facing off."
STEPHANOPOULOS,"It is a critical test for the candidates and their campaigns at a critical time for our country. They're going to lay out their vision for the country, their records, their differences with President Trump and each other. And we're going to do our best to bring you a lively, informative, and civil debate."
STEPHANOPOULOS,"I'm joined here tonight by my ABC colleague, ""World News Tonight"" anchor David Muir, our national correspondent, Linsey Davis, and Jorge Ramos from our partner network, Univision."
STEPHANOPOULOS,Jorge?
RAMOS," George, thank you very much. We appreciate the opportunity to welcome Latinos across the country and to ask about Latinx issues during these challenging times."
RAMOS,(SPEAKING SPANISH)
RAMOS,"Let me just give you a little translation here. I'm telling Latinos that, despite the fact that we are facing difficult times, this is our country, too. Linsey?"
RAMOS,(APPLAUSE)
DAVIS," We are delighted to be on the beautiful campus of Texas Southern University, one of the largest historically black colleges and universities in the country. And here in the Health and Physical Education Building tonight, we are joined by a live audience of 3,500 people, most invited by the Democratic National Committee, and, of course, some of the brightest minds of the student body here at TSU. Go Tigers."
DAVIS,(APPLAUSE)
MUIR," We can feel the energy in the room, can't we, Linsey? The rules of this debate are very basic tonight and have been agreed to by all the campaigns in advance. Candidates will have one minute, 15 seconds to answer a direct question and 45 seconds for a rebuttal or response as directed by one of the moderators. Candidates will each see green and yellow lights -- there you see them right there -- indicating how much time they have remaining. And when time is up, the light will turn red. Candidates who interrupt will be subject to having their time reduced later on."
MUIR,"But this is democracy, the great American experiment, and the candidates are here tonight to make their case."
STEPHANOPOULOS, The podium placement was based on their current standings in nationally recognized polls with the leading candidates in the center. All candidates have been told they can have one minute to make an opening statement. And we're going to begin in reverse polling order with Secretary Julian Castro.
STEPHANOPOULOS,(APPLAUSE)
CASTRO," Good evening, y bienvenidos a Texas. Welcome to Texas."
CASTRO,(APPLAUSE)
CASTRO,"It's great to be here at TSU, home of the Tigers. You know, on January 20, 2021, at 1201 p.m., we're going to have a Democratic president, a Democratic House, and a Democratic Senate."
CASTRO,(APPLAUSE)
CASTRO,"There will be life after Donald Trump. But the truth is that our problems didn't start just with Donald Trump, and we won't solve them by embracing old ideas. We need a bold vision universal pre-K and universal health care, unleashing millions of new jobs in the clean energy economy, a tax system that rewards people who have to work for a living."
CASTRO,"But first, we have to win. And that means exciting a young, diverse coalition of Americans who are ready for a bold future. That's what Kennedy did, it's what Carter did, it's what Clinton did, it's what Barack Obama did, and it's what I can do in this race. Get back Michigan, Wisconsin, and Pennsylvania, Florida, Georgia, and Arizona, and finally turn Texas blue and say goodbye to Donald Trump."
CASTRO,(APPLAUSE)
STEPHANOPOULOS, Senator Klobuchar?
KLOBUCHAR," Good evening, Texas Southern. I believe that what unites us up here, the 10 of us, is much stronger than what divides us. And I think that's true of our country, too."
KLOBUCHAR,"Now, I may not be the loudest person up here, but I think we've already got that in the White House."
KLOBUCHAR,(APPLAUSE)
KLOBUCHAR,"Houston, we have a problem. This -- we have a guy there that is literally running our country like a game show. He would rather lie than lead. I think we need something different."
KLOBUCHAR,"I am someone that tells the truth. I don't make promises that I can't keep. I have people's back. And I believe that to win, you bring people with you and that is how you govern, as well."
KLOBUCHAR,"So, you're going to hear a lot of ideas up here. Some will be great. But if you see that some of them seem a little off-track, I've got a better way. If you feel stuck in the middle of the extremes in our politics and you are tired of the noise and the nonsense, you've got a home with me, because I don't want to be the president for half of America. I want to be the president for all of America."
KLOBUCHAR,(APPLAUSE)
STEPHANOPOULOS, Congressman Beto O'Rourke?
O’ROURKE," It's an honor to be on this debate stage. It is wonderful to be back in Texas, in Houston, back here at TSU."
O’ROURKE,"On August 3rd, in El Paso, Texas, two things became crystal clear for me, and I think produced a turning point for this country. The first is just how dangerous Donald Trump is, the cost and the consequence of his presidency."
O’ROURKE,"A racism and violence that had long been a part of America was welcomed out into the open and directed to my hometown of El Paso, Texas, where 22 people were killed, dozens more grievously injured by a man carrying a weapon he should never have been able to buy in the first place, inspired to kill by our president."
